1633 2665097, [43, 61979]
1636 2674901, [43, 62207]
1639 2684723, [71, 37813]
1640 2688001, [41, 53, 1237]
1641 2691281, [41, 41, 1601]
1642 2694563, [97, 27779]
1643 2697847, [47, 61, 941]
1644 2701133, [379, 7127]
1647 2711003, [53, 51151]
1648 2714297, [47, 57751]
1651 2724191, [151, 18041]
1652 2727493, [61, 61, 733]
1654 2734103, [83, 32941]
1657 2744033, [97, 28289]
1660 2753981, [499, 5519]
1661 2757301, [709, 3889]
1662 2760623, [1039, 2657]
1664 2767273, [547, 5059]
1665 2770601, [421, 6581]
1667 2777263, [83, 33461]
1671 2790611, [281, 9931]
1672 2793953, [151, 18503]
1673 2797297, [457, 6121]
1676 2807341, [43, 65287]
1678 2814047, [853, 3299]
1679 2817403, [43, 65521]
1680 2820761, [1049, 2689]
1681 2824121, [41, 68881]
1682 2827483, [41, 68963]
1683 2830847, [307, 9221]
1687 2844323, [113, 25171]
1689 2851073, [199, 14327]
1690 2854451, [47, 60733]
1693 2864597, [53, 54049]
1694 2867983, [131, 21893]
1695 2871371, [47, 199, 307]
1696 2874761, [487, 5903]
1699 2884943, [71, 179, 227]
1700 2888341, [53, 54497]
1702 2895143, [281, 10303]
1703 2898547, [179, 16193]
1704 2901953, [61, 113, 421]
1705 2905361, [263, 11047]
1707 2912183, [227, 12829]
1710 2922431, [71, 41161]
1712 2929273, [163, 17971]
1713 2932697, [61, 131, 367]
1714 2936123, [487, 6029]
1715 2939551, [263, 11177]
1717 2946413, [1471, 2003]
1718 2949847, [347, 8501]
1719 2953283, [43, 173, 397]
1720 2956721, [1381, 2141]
1722 2963603, [41, 41, 41, 43]
1723 2967047, [41, 72367]
1724 2970493, [1229, 2417]
1730 2991211, [1483, 2017]
1735 3008531, [853, 3527]
1737 3015473, [47, 83, 773]
1739 3022423, [97, 31159]
1740 3025901, [1297, 2333]
1742 3032863, [47, 173, 373]
1743 3036347, [251, 12097]
1746 3046811, [53, 57487]
1748 3053797, [523, 5839]
1750 3060791, [83, 36877]
1753 3071297, [53, 167, 347]
1754 3074803, [97, 31699]
1755 3078311, [167, 18433]
1756 3081821, [593, 5197]
1760 3095881, [1259, 2459]
1761 3099401, [197, 15733]
1762 3102923, [43, 72161]
1763 3106447, [41, 75767]
1764 3109973, [41, 75853]
1765 3113501, [43, 61, 1187]
1768 3124097, [379, 8243]
1770 3131171, [71, 44101]
1771 3134711, [223, 14057]
1772 3138253, [251, 12503]
1773 3141797, [1109, 2833]
1774 3145343, [61, 51563]
1775 3148891, [409, 7699]
1778 3159547, [1013, 3119]
1781 3170221, [71, 44651]
1782 3173783, [1481, 2143]
1784 3180913, [47, 67679]
1786 3188051, [197, 16183]
1788 3195197, [1531, 2087]
1789 3198773, [47, 68059]
1791 3205931, [1069, 2999]
1793 3213097, [911, 3527]
1796 3223861, [653, 4937]
1797 3227453, [1187, 2719]
1798 3231047, [223, 14489]
1799 3234643, [53, 61031]
1800 3238241, [113, 28657]
1801 3241841, [673, 4817]
1802 3245443, [151, 21493]
1803 3249047, [593, 5479]
1804 3252653, [41, 79333]
1805 3256261, [41, 43, 1847]
1806 3259871, [53, 61507]
1808 3267097, [43, 75979]
1809 3270713, [1129, 2897]
1817 3299713, [113, 29201]
1819 3306983, [661, 5003]
1820 3310621, [83, 39887]
1823 3321547, [151, 21997]
1824 3325193, [461, 7213]
1825 3328841, [131, 25411]
